combination,relevant_property,sharpness,category,observed_mean,observed_lower,observed_upper,summary_type
dimension_form,both,sharp,FC,0.023060796645702306,0.008385744234800839,0.039832285115303984,Exact response
dimension_form,both,sharp,FCD,0.0041928721174004195,0,0.012578616352201259,Exact response
dimension_form,both,sharp,FD,0.0020964360587002098,0,0.006289308176100629,Exact response
dimension_form,both,sharp,FDC,0.0020964360587002098,0,0.006289308176100629,Exact response
dimension_form,first,blurred,C,0.13953488372093023,0.11372435679474102,0.16635595920968774,Exact response
dimension_form,first,blurred,CD,0.001937984496124031,0,0.005940594059405941,Exact response
dimension_form,first,blurred,CDF,0.025193798449612403,0.003883495145631068,0.05827305374330769,Exact response
dimension_form,first,blurred,CF,0.16666666666666666,0.1183373712901272,0.2194186800563255,Exact response
dimension_form,first,blurred,CFD,0.001937984496124031,0,0.005929147262552343,Exact response
dimension_form,first,blurred,D,0.07364341085271318,0.0380952380952381,0.11456464177443494,Exact response
dimension_form,first,blurred,DC,0.05813953488372093,0.03428198508318991,0.08398801610301149,Exact response
dimension_form,first,blurred,DCF,0.27906976744186046,0.21314191901595142,0.3461557059961315,Exact response
dimension_form,first,blurred,DF,0.19767441860465115,0.14671814671814673,0.25189430083275505,Exact response
dimension_form,first,blurred,DFC,0.029069767441860465,0.007722007722007722,0.05720052847915444,Exact response
dimension_form,first,blurred,F,0.005813953488372093,0,0.012049331437549306,Exact response
dimension_form,first,blurred,FC,0.02131782945736434,0.005825242718446602,0.04191078270388617,Exact response
dimension_form,first,blurred,FCD,0,0,0,Exact response
dimension_form,first,blurred,FD,0,0,0,Exact response
dimension_form,first,blurred,FDC,0,0,0,Exact response
dimension_form,first,sharp,C,0.07789473684210527,0.05894736842105263,0.09663865546218488,Exact response
dimension_form,first,sharp,CD,0,0,0,Exact response
dimension_form,first,sharp,CDF,0.016842105263157894,0,0.0440251572327044,Exact response
dimension_form,first,sharp,CF,0.1031578947368421,0.05719735571765716,0.15756302521008403,Exact response
dimension_form,first,sharp,CFD,0,0,0,Exact response
dimension_form,first,sharp,D,0.25473684210526315,0.182763529940278,0.33122362869198313,Exact response
dimension_form,first,sharp,DC,0.06526315789473684,0.0379746835443038,0.09894736842105263,Exact response
dimension_form,first,sharp,DCF,0.21052631578947367,0.14767932489451477,0.2779093937375084,Exact response
dimension_form,first,sharp,DF,0.21473684210526317,0.16033755274261605,0.2689075630252101,Exact response
dimension_form,first,sharp,DFC,0.02736842105263158,0.00631578947368421,0.05473684210526316,Exact response
dimension_form,first,sharp,F,0.00631578947368421,0,0.016842105263157894,Exact response
dimension_form,first,sharp,FC,0.01263157894736842,0,0.03368421052631579,Exact response
dimension_form,first,sharp,FCD,0.002105263157894737,0,0.006329113924050633,Exact response
dimension_form,first,sharp,FD,0.002105263157894737,0,0.006342494714587738,Exact response
dimension_form,first,sharp,FDC,0.00631578947368421,0,0.014705882352941176,Exact response
dimension_form,second,blurred,C,0.04814814814814815,0.03333333333333333,0.06296296296296296,Exact response
dimension_form,second,blurred,CD,0,0,0,Exact response
dimension_form,second,blurred,CDF,0,0,0,Exact response
dimension_form,second,blurred,CF,0.24814814814814815,0.17222222222222222,0.32592592592592595,Exact response
dimension_form,second,blurred,CFD,0,0,0,Exact response
dimension_form,second,blurred,D,0,0,0,Exact response
dimension_form,second,blurred,DC,0.001851851851851852,0,0.005555555555555556,Exact response
dimension_form,second,blurred,DCF,0.016666666666666666,0.001851851851851852,0.037037037037037035,Exact response
dimension_form,second,blurred,DF,0,0,0,Exact response
dimension_form,second,blurred,DFC,0.011111111111111112,0,0.03333333333333333,Exact response
dimension_form,second,blurred,F,0.6481481481481481,0.5666666666666667,0.725925925925926,Exact response
dimension_form,second,blurred,FC,0.025925925925925925,0.003703703703703704,0.06296296296296296,Exact response
dimension_form,second,blurred,FCD,0,0,0,Exact response
dimension_form,second,blurred,FD,0,0,0,Exact response
dimension_form,second,blurred,FDC,0,0,0,Exact response
dimension_form,second,sharp,C,0.1092436974789916,0.0759493670886076,0.14105263157894737,Exact response
dimension_form,second,sharp,CD,0.0021008403361344537,0,0.00631578947368421,Exact response
dimension_form,second,sharp,CDF,0.004201680672268907,0,0.01263157894736842,Exact response
dimension_form,second,sharp,CF,0.18907563025210083,0.11974789915966387,0.2641509433962264,Exact response
dimension_form,second,sharp,CFD,0,0,0,Exact response
dimension_form,second,sharp,D,0,0,0,Exact response
dimension_form,second,sharp,DC,0.0021008403361344537,0,0.00631578947368421,Exact response
dimension_form,second,sharp,DCF,0.008403361344537815,0,0.02100840336134454,Exact response
dimension_form,second,sharp,DF,0,0,0,Exact response
dimension_form,second,sharp,DFC,0.01050420168067227,0,0.031578947368421054,Exact response
dimension_form,second,sharp,F,0.6407563025210085,0.5599937106918239,0.7152048634243838,Exact response
dimension_form,second,sharp,FC,0.031512605042016806,0.012684989429175475,0.05241090146750524,Exact response
dimension_form,second,sharp,FCD,0,0,0,Exact response
dimension_form,second,sharp,FD,0,0,0,Exact response
dimension_form,second,sharp,FDC,0.0021008403361344537,0,0.00631578947368421,Exact response
color_form,both,blurred,C,0.7777777777777778,0.7203703703703703,0.8278240740740742,Initial adjective
color_form,both,blurred,D,0.14444444444444443,0.1037037037037037,0.18888888888888888,Initial adjective
color_form,both,blurred,F,0.07777777777777778,0.040740740740740744,0.12222222222222222,Initial adjective
color_form,both,sharp,C,0.7295597484276729,0.6540880503144654,0.7987421383647799,Initial adjective
color_form,both,sharp,D,0.20125786163522014,0.13626834381551362,0.27253668763102723,Initial adjective
color_form,both,sharp,F,0.06918238993710692,0.03563941299790356,0.1111111111111111,Initial adjective
color_form,first,blurred,C,0.8907407407407407,0.837037037037037,0.937037037037037,Initial adjective
color_form,first,blurred,D,0.09074074074074075,0.05185185185185185,0.13703703703703704,Initial adjective
color_form,first,blurred,F,0.018518518518518517,0,0.05555555555555555,Initial adjective
color_form,first,sharp,C,0.909853249475891,0.8658280922431866,0.949685534591195,Initial adjective
color_form,first,sharp,D,0.06918238993710692,0.033542976939203356,0.11320754716981132,Initial adjective
color_form,first,sharp,F,0.020964360587002098,0.0041928721174004195,0.041928721174004195,Initial adjective
color_form,second,blurred,C,0.21851851851851853,0.14814814814814814,0.2962962962962963,Initial adjective
color_form,second,blurred,D,0.06851851851851852,0.03148148148148148,0.1111111111111111,Initial adjective
color_form,second,blurred,F,0.7129629629629629,0.6314814814814815,0.7888888888888889,Initial adjective
color_form,second,sharp,C,0.1719077568134172,0.1069182389937107,0.24528301886792453,Initial adjective
color_form,second,sharp,D,0.06079664570230608,0.031446540880503145,0.09643605870020965,Initial adjective
color_form,second,sharp,F,0.7672955974842768,0.6876310272536688,0.8364779874213837,Initial adjective
dimension_color,both,blurred,C,0.3469387755102041,0.29074074074074074,0.4070718022855569,Initial adjective
dimension_color,both,blurred,D,0.49165120593692024,0.4256505576208178,0.5611111111111111,Initial adjective
dimension_color,both,blurred,F,0.1614100185528757,0.12430426716141002,0.20037105751391465,Initial adjective
dimension_color,both,sharp,C,0.24579831932773108,0.18736842105263157,0.31092436974789917,Initial adjective
dimension_color,both,sharp,D,0.6449579831932774,0.5681341719077568,0.7205882352941176,Initial adjective
dimension_color,both,sharp,F,0.1092436974789916,0.07752766499482527,0.14465408805031446,Initial adjective
dimension_color,first,blurred,C,0.1366223908918406,0.08670329730141624,0.19093323381538096,Initial adjective
dimension_color,first,blurred,D,0.793168880455408,0.7272727272727273,0.8514304511278196,Initial adjective
dimension_color,first,blurred,F,0.07020872865275142,0.043560606060606064,0.10000472589792063,Initial adjective
dimension_color,first,sharp,C,0.12,0.061052631578947365,0.18736842105263157,Initial adjective
dimension_color,first,sharp,D,0.7642105263157895,0.6926315789473684,0.8252631578947368,Initial adjective
dimension_color,first,sharp,F,0.11578947368421053,0.09433962264150944,0.14105263157894737,Initial adjective
