model,relevant_property,sharpness,metric,mean,lower_95,upper_95,trials,posterior_draws
G-HO,second,sharp,listener_size_first,0.11047847595686443,0.10754955972305986,0.1132700015542296,477,200
G-HO,second,sharp,listener_colour_first,0.1424597035665841,0.1393465503012688,0.1454577409488684,477,200
G-HO,second,sharp,listener_advantage,-0.03198122760971966,-0.03385694682728264,-0.02976283808438733,477,200
G-UPD-HO,all,all,speaker_size_first_given_set,0.9715100778289093,0.9675762303080565,0.9750843102200847,3034,200
G-UPD-HO,all,all,listener_size_first,0.15175185394124724,0.1492273818161908,0.15452725190089306,3034,200
G-UPD-HO,all,all,listener_colour_first,0.1494552834429192,0.1478288838670477,0.15118391669723222,3034,200
G-UPD-HO,all,all,listener_advantage,0.002296570498328043,0.0008602461188447098,0.0036161484689269867,3034,200
G-UPD-HO,both,blurred,speaker_size_first_given_set,0.9735453445507628,0.9693021536705192,0.9771468563852395,539,200
G-UPD-HO,both,blurred,listener_size_first,0.15207486991234093,0.14923440188696444,0.15506024901516136,539,200
G-UPD-HO,both,blurred,listener_colour_first,0.1519134859356426,0.15008912123008655,0.1541671877955497,539,200
G-UPD-HO,both,blurred,listener_advantage,0.0001613839766983298,-0.0018960264800606077,0.002539187262525247,539,200
G-UPD-HO,both,sharp,speaker_size_first_given_set,0.9709338081314371,0.9660212817336343,0.9756588092452994,476,200
G-UPD-HO,both,sharp,listener_size_first,0.17794062661741067,0.17379610727628444,0.18147631479159151,476,200
G-UPD-HO,both,sharp,listener_colour_first,0.16983155162983138,0.1665973481803687,0.17391338403901066,476,200
G-UPD-HO,both,sharp,listener_advantage,0.008109074987579299,0.0049234841045301065,0.011186144064640427,476,200
G-UPD-HO,first,blurred,speaker_size_first_given_set,0.9735833841470568,0.9698446290473701,0.9770826377103894,527,200
G-UPD-HO,first,blurred,listener_size_first,0.16175014555428432,0.15743730376769455,0.16683760397244354,527,200
G-UPD-HO,first,blurred,listener_colour_first,0.1455803368683131,0.1435731833222015,0.1475850336019081,527,200
G-UPD-HO,first,blurred,listener_advantage,0.01616980868597122,0.012054040816879167,0.020217147962846033,527,200
G-UPD-HO,first,sharp,speaker_size_first_given_set,0.9704250920001628,0.9660228180293844,0.9749302485490877,475,200
G-UPD-HO,first,sharp,listener_size_first,0.21236158999952864,0.20315248550662837,0.2211175826731022,475,200
G-UPD-HO,first,sharp,listener_colour_first,0.15865211595810239,0.15529006526968153,0.1619988345440761,475,200
G-UPD-HO,first,sharp,listener_advantage,0.053709474041426244,0.04682780427019296,0.059613685471198434,475,200
